ID,Battle ID,Battle Type,Battle Type ID,Battle Name,Game platform,Missions,Release date,Last updated,Creator(s),Average rating,Reviews,Bug reports,Times completed,Patches used,Patch IDs,Battle URL,Download Link,Folder Location,Filename,Path
1254,XvT-TC 118,XvT-TC,118,Operation Spyglass,X-Wing vs. TIE Fighter,4,12/4/2005,2/22/2009,LT Kate Flyer,3.2,5,1,42,None,,https://tc.emperorshammer.org/download.php?id=1254&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC118.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC118,Installation4.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC118\Installation4.tie
1255,XvT-CAB 4,XvT-CAB,4,Retribution,X-Wing vs. TIE Fighter,6,12/11/2005,4/11/2009,GN Ric Hunter,3,4,0,34,EH Ship Patch for XvT | TIE Praetor,8|103,https://tc.emperorshammer.org/download.php?id=1255&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CAB/XvTCAB4.zip,C:\Users\kevin\Documents\Projects\EH\XvTCAB4,8905fchg1.tie,C:\Users\kevin\Documents\Projects\EH\XvTCAB4\8905fchg1.tie
1255,XvT-CAB 4,XvT-CAB,4,Retribution,X-Wing vs. TIE Fighter,6,12/11/2005,4/11/2009,GN Ric Hunter,3,4,0,34,EH Ship Patch for XvT | TIE Praetor,8|103,https://tc.emperorshammer.org/download.php?id=1255&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CAB/XvTCAB4.zip,C:\Users\kevin\Documents\Projects\EH\XvTCAB4,8905fchg2.tie,C:\Users\kevin\Documents\Projects\EH\XvTCAB4\8905fchg2.tie
1255,XvT-CAB 4,XvT-CAB,4,Retribution,X-Wing vs. TIE Fighter,6,12/11/2005,4/11/2009,GN Ric Hunter,3,4,0,34,EH Ship Patch for XvT | TIE Praetor,8|103,https://tc.emperorshammer.org/download.php?id=1255&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CAB/XvTCAB4.zip,C:\Users\kevin\Documents\Projects\EH\XvTCAB4,8905fchg3.tie,C:\Users\kevin\Documents\Projects\EH\XvTCAB4\8905fchg3.tie
1255,XvT-CAB 4,XvT-CAB,4,Retribution,X-Wing vs. TIE Fighter,6,12/11/2005,4/11/2009,GN Ric Hunter,3,4,0,34,EH Ship Patch for XvT | TIE Praetor,8|103,https://tc.emperorshammer.org/download.php?id=1255&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CAB/XvTCAB4.zip,C:\Users\kevin\Documents\Projects\EH\XvTCAB4,8905fchg4.tie,C:\Users\kevin\Documents\Projects\EH\XvTCAB4\8905fchg4.tie
1255,XvT-CAB 4,XvT-CAB,4,Retribution,X-Wing vs. TIE Fighter,6,12/11/2005,4/11/2009,GN Ric Hunter,3,4,0,34,EH Ship Patch for XvT | TIE Praetor,8|103,https://tc.emperorshammer.org/download.php?id=1255&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CAB/XvTCAB4.zip,C:\Users\kevin\Documents\Projects\EH\XvTCAB4,8905fchg5.tie,C:\Users\kevin\Documents\Projects\EH\XvTCAB4\8905fchg5.tie
1255,XvT-CAB 4,XvT-CAB,4,Retribution,X-Wing vs. TIE Fighter,6,12/11/2005,4/11/2009,GN Ric Hunter,3,4,0,34,EH Ship Patch for XvT | TIE Praetor,8|103,https://tc.emperorshammer.org/download.php?id=1255&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CAB/XvTCAB4.zip,C:\Users\kevin\Documents\Projects\EH\XvTCAB4,8905fchg6.tie,C:\Users\kevin\Documents\Projects\EH\XvTCAB4\8905fchg6.tie
1256,XvT-TC 119,XvT-TC,119,The Minos Campaign,X-Wing vs. TIE Fighter,5,12/11/2005,2/22/2009,LCM Alan Makhlar,4,4,2,37,EH Ship Patch for XvT | E-Wing | K-Wing,8|34|54,https://tc.emperorshammer.org/download.php?id=1256&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC119.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC119,bothan.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC119\bothan.tie
1256,XvT-TC 119,XvT-TC,119,The Minos Campaign,X-Wing vs. TIE Fighter,5,12/11/2005,2/22/2009,LCM Alan Makhlar,4,4,2,37,EH Ship Patch for XvT | E-Wing | K-Wing,8|34|54,https://tc.emperorshammer.org/download.php?id=1256&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC119.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC119,bothan2.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC119\bothan2.tie
1256,XvT-TC 119,XvT-TC,119,The Minos Campaign,X-Wing vs. TIE Fighter,5,12/11/2005,2/22/2009,LCM Alan Makhlar,4,4,2,37,EH Ship Patch for XvT | E-Wing | K-Wing,8|34|54,https://tc.emperorshammer.org/download.php?id=1256&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC119.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC119,bothan3.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC119\bothan3.tie
