ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
365,Diamond-class Cruiser,39,8,X-Wing vs. TIE Fighter,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,6/5/2010,11/5/2013,1,No,0,0,0
366,Diamond-class Cruiser,39,9,XvT - Balance of Power,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,6/5/2010,11/5/2013,1,No,0,0,0
367,Astatine-class Tug,215,n/a,X-Wing Alliance,Utility,,HA Ender mBind,COL Den Darkhill,COL Den Darkhill,11/14/2001,10/31/2013,1,No,0,2,1
368,MC90 Calamari Cruiser,186,n/a,X-Wing Alliance,Capship,Fleet Manual #143,COL Kermee,JM,JM,10/22/2000,10/31/2013,1,No,0,1,17
369,Dungeon Ship,187,n/a,X-Wing Alliance,Capship,Fleet Manual #147,COL Den Darkhill,LT JMRabid,LT JMRabid,5/12/2001,10/30/2012,1,No,0,0,5
370,Dreadnaught Mk.I,215,n/a,X-Wing Alliance,Capship,Fleet Manual #128,HA Ender mBind,HA Ender mBind,HA Ender mBind,9/24/2004,10/31/2013,1,No,0,0,5
371,Enforcer Picket Ship,219,n/a,X-Wing Alliance,Capship,Fleet Manual #115,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/16/2004,10/28/2013,1,No,0,0,1
372,Eclipse-class S. Star Destroyer Mk.II,219,n/a,X-Wing Alliance,Capship,Fleet Manual #141,COL Den Darkhill,JM,JM,7/6/2001,10/31/2013,1,No,0,1,0
373,Eclipse-class S. Star Destroyer Mk.I,218,n/a,X-Wing Alliance,Capship,,COL Den Darkhill,Dreddnott,Dreddnott,7/6/2001,10/31/2013,1,No,0,0,0
374,E-Wing,196,n/a,X-Wing Alliance,Fighter,Fleet Manual #140,unknown,FA Xavier Sienar,FA Xavier Sienar,4/18/2004,11/8/2013,1,No,0,0,0
375,Hyperion Interceptor Gunboat,201,n/a,X-Wing Alliance,Fighter,Fleet Manual #107,HA Ender mBind,HA Ender mBind,COL Den Darkhill,4/18/2004,10/30/2012,1,No,0,0,2
376,I-7 Howlrunner,197,n/a,X-Wing Alliance,Fighter,Fleet Manual #104,COL Den Darkhill,JM,JM,10/26/2000,10/31/2013,1,No,0,0,0
