ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
59,Millenium Falcon,39,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #30,HA Ender mBind,N/A,N/A,2/18/2009,11/1/2013,1,No,0,0,0
60,Missileboat Mk.I,12,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #160,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,1
61,MK-90 Droid,74,8,X-Wing vs. TIE Fighter,Object,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/27/2013,1,No,0,0,0
62,Mobquet Transport,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #57,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/1/2013,1,No,0,0,0
63,Modified Action Transport,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #58,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/1/2013,1,No,0,0,1
64,Modified Strike-class Cruiser,51,8,X-Wing vs. TIE Fighter,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/1/2013,1,No,0,0,5
65,Modular Task Force Cruiser,39,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #155,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/20/2009,1,No,0,1,3
66,Mole Miner,39,8,X-Wing vs. TIE Fighter,Utility,Fleet Manual #71,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/27/2013,1,No,0,0,1
67,Moving Asteroid (Slot 10),10,8,X-Wing vs. TIE Fighter,Object,,HA Ender mBind,,,2/18/2009,2/18/2009,1,No,0,0,1
68,Mu-2 Long Range Shuttle,39,8,X-Wing vs. TIE Fighter,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/20/2009,1,No,0,0,1
69,Naval Base,54,8,X-Wing vs. TIE Fighter,Platform,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/2/2013,1,No,0,0,3
70,Naval Defence Platform,31,8,X-Wing vs. TIE Fighter,Platform,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/20/2009,1,No,0,1,2
71,Phalanx Interceptor Gunboat,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #139,COL Kermee,HA Ender mBind,HA Ender mBind,2/18/2009,2/20/2009,1,Yes,0,0,1
72,Pinook Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/3/2013,1,No,0,0,1
73,Pirate Ship Yard,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #89,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/4/2013,1,No,0,0,0
74,Planetary Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #14,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/18/2013,1,Yes,0,0,1
75,Preybird-class Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/18/2013,1,No,0,0,1
76,Processing Plant,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #85,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/4/2013,1,No,0,0,1
77,Razor-class Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/18/2013,1,No,0,0,1
78,Rebel Pilot,85,8,X-Wing vs. TIE Fighter,Object,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/18/2009,1,No,0,0,0
79,Rebel Platform,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #86,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/4/2013,1,No,0,0,1
80,Rotonda Platform,54,8,X-Wing vs. TIE Fighter,Platform,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/19/2009,1,No,0,0,1
81,Shadow-class Y-Wing,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #131,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/4/2013,1,Yes,0,0,1
82,Skipray Blastboat,11,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/18/2013,1,No,0,0,2
83,Space Colony 1,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #92,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/5/2013,1,No,0,0,0
84,Space Colony 2,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #93,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/5/2013,1,No,0,0,0
85,Space Colony 3,54,8,X-Wing vs. TIE Fighter,Platform,Fleet Manual #94,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/5/2013,1,No,0,0,0
86,Spectre Advanced Missile Boat,12,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #108,COL Kermee,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2012,1,No,0,0,1
87,Star Galleon,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #152,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/5/2013,1,No,0,0,0
88,Supa Fighter,11,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/7/2013,1,No,0,0,1
89,Suprosa,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #63,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/1/2013,1,No,0,0,0
90,Tactical Gunboat,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #130,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2012,1,Yes,0,0,5
91,TIE Advanced x1,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #127,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/7/2013,1,No,0,0,1
92,TIE Assault,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #9,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/7/2013,1,No,0,1,2
93,TIE Boarding Craft,11,8,X-Wing vs. TIE Fighter,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/7/2013,1,No,0,0,1
94,TIE Crimson,10,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,1,1
95,TIE Dragon,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #132,COL Kermee,HA Ender mBind,HA Ender mBind,2/17/2009,11/8/2013,1,No,0,0,1
96,TIE Drone,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #39,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/17/2009,11/8/2013,1,No,0,1,1
97,TIE Experimental Mk.I,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #11,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,0,5
98,TIE Experimental Mk.II,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #21,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,0,1
99,TIE Experimental Mk.III,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #22,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,0,1
100,TIE Experimental Mk.IV,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #23,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,0,0
101,TIE Experimental Mk.V,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #24,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,0,0
102,TIE Guardian,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #136,COL Kermee,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2012,1,No,0,0,2
103,TIE Praetor,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #138,COL Kermee,HA Ender mBind,HA Ender mBind,2/17/2009,11/8/2013,1,Yes,1,0,15
104,TIE Protector,12,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #129,COL Kermee,HA Ender mBind,HA Ender mBind,2/17/2009,11/8/2013,1,Yes,0,0,1
105,TIE Raptor,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #105,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/9/2013,1,No,0,0,0
106,TIE Scimitar Assault Bomber Mk.III,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #135,COL Kermee,unknown,unknown,2/17/2009,11/9/2013,1,No,0,0,2
107,TIE Sentinel/V38,11,8,X-Wing vs. TIE Fighter,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/7/2013,1,Yes,0,1,2
108,TIE Shuttle,10,8,X-Wing vs. TIE Fighter,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/9/2013,1,No,0,0,0
109,TIE Vanguard,11,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #10,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/20/2009,1,No,0,0,2
110,Torpedo Sphere,39,8,X-Wing vs. TIE Fighter,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,2/19/2009,1,No,0,0,1
111,Toscan Fighter,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #15,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/9/2013,1,Yes,0,2,4
112,Venator-class Star Destroyer,31,8,X-Wing vs. TIE Fighter,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/5/2013,1,No,0,1,2
113,Victory II-class Star Destroyer,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #158,HA Ender mBind,N/A,N/A,2/18/2009,11/9/2013,1,No,0,0,0
114,V-Wing Mk.II,10,8,X-Wing vs. TIE Fighter,Fighter,Fleet Manual #159,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/9/2013,1,Yes,0,0,1
115,Winged Calamari Cruiser,31,8,X-Wing vs. TIE Fighter,Capship,Fleet Manual #150,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/31/2013,1,No,0,0,1
116,Xiytiar-class Transport,31,8,X-Wing vs. TIE Fighter,Freighter,Fleet Manual #64,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/9/2013,1,No,0,0,0
117,Zero-G Stormtrooper,11,8,X-Wing vs. TIE Fighter,Utility,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/27/2013,1,No,0,0,0
118,Zero-G Utility,31,8,X-Wing vs. TIE Fighter,Utility,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,10/27/2013,1,No,0,0,0
119,A-9 Vigilance Interceptor,11,9,XvT - Balance of Power,Fighter,Fleet Manual #137,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,0,0
120,Gamma-class Assault Shuttle,39,9,XvT - Balance of Power,Transport,Fleet Manual #24,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/11/2013,1,No,0,0,0
121,Asteroid Mining Unit,39,8,XvT - Balance of Power,Platform,Fleet Manual #120,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
122,Authority IRD,11,9,XvT - Balance of Power,Fighter,Fleet Manual #12,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
123,Azzameen Family Base,54,9,XvT - Balance of Power,Platform,Fleet Manual #78,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/28/2013,1,No,0,0,0
124,Bulk Cruiser,39,9,XvT - Balance of Power,Capship,Fleet Manual #151,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
125,Captivator-2,10,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,0,0
126,Cloakshape Fighter,10,9,XvT - Balance of Power,Fighter,Fleet Manual #13,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
127,Cyciliac Fighter,10,9,XvT - Balance of Power,Fighter,,HA Ender mBind,CPT Tim,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,0,0
128,Delta-7 Aethersprite,11,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,1,1
129,E-Wing,10,9,XvT - Balance of Power,Fighter,Fleet Manual #140,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/18/2009,11/8/2013,1,No,0,0,0
130,Firespray Attack Ship ,10,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/8/2013,1,No,0,1,1
131,Hyperion Interceptor Gunboat,11,9,XvT - Balance of Power,Fighter,Fleet Manual #107,COL Den Darkhill,COL Den Darkhill,HA Ender mBind,2/19/2009,10/31/2012,1,No,0,0,0
132,I-7 Howlrunner,10,9,XvT - Balance of Power,Fighter,Fleet Manual #104,COL Den Darkhill,JM,JM,2/19/2009,10/31/2013,1,No,0,0,0
133,Interceptor Enforcement Ship,10,9,XvT - Balance of Power,Fighter,Fleet Manual #102,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2012,1,Yes,0,0,0
134,K-Wing,11,9,XvT - Balance of Power,Fighter,,HA Ender mBind,unknown,unknown,2/19/2009,10/31/2013,1,No,0,0,0
135,Missileboat Mk.I,12,9,XvT - Balance of Power,Fighter,Fleet Manual #160,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
136,Phalanx Interceptor Gunboat,10,9,XvT - Balance of Power,Fighter,Fleet Manual #139,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,Yes,0,0,1
137,Pinook Fighter,10,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/3/2013,1,No,0,0,0
138,Planetary Fighter,10,9,XvT - Balance of Power,Fighter,Fleet Manual #14,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/18/2013,1,Yes,0,0,0
139,Civilian Pilot,85,9,XvT - Balance of Power,Object,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
140,MK-90 Droid,74,9,XvT - Balance of Power,Object,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
141,Rebel Pilot,85,9,XvT - Balance of Power,Object,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
142,Escape Pod,39,9,XvT - Balance of Power,Utility,Fleet Manual #21,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
143,Escape Pod Deluxe,39,9,XvT - Balance of Power,Utility,Fleet Manual #20,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
144,Imperial Shuttle Pod Mk.VI,11,9,XvT - Balance of Power,Utility,Fleet Manual #90,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,Yes,0,0,0
145,Mole Miner,39,9,XvT - Balance of Power,Utility,Fleet Manual #71,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
146,Zero-G Stormtrooper,11,9,XvT - Balance of Power,Utility,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
147,Zero-G Utility,11,9,XvT - Balance of Power,Utility,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/27/2013,1,No,0,0,0
148,Imperial Landing Craft,39,9,XvT - Balance of Power,Transport,Fleet Manual #26,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,3/29/2014,1,No,0,0,0
149,Imperial Troop Transport,31,9,XvT - Balance of Power,Transport,Fleet Manual #103,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,3/28/2009,1,No,0,0,0
150,Luxury Yacht 3000,39,9,XvT - Balance of Power,Transport,Fleet Manual #27,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
151,Mu-2 Long Range Shuttle,39,9,XvT - Balance of Power,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,0,0
152,TIE Boarding Craft,11,9,XvT - Balance of Power,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/7/2013,1,No,0,0,0
153,TIE Shuttle ,10,9,XvT - Balance of Power,Transport,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/9/2013,1,No,0,0,0
154,Corellian Transport YT-2000,39,9,XvT - Balance of Power,Freighter,Fleet Manual #31,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
155,Corellian Transport YT-2400,39,9,XvT - Balance of Power,Freighter,Fleet Manual #32,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
156,Ferryboat Liner,39,9,XvT - Balance of Power,Transport,Fleet Manual #34,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/28/2013,1,No,0,0,0
157,Freighter Type C,31,9,XvT - Balance of Power,Freighter,Fleet Manual #60,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
158,Freighter Type H,31,9,XvT - Balance of Power,Freighter,Fleet Manual #61,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
159,Freighter Type K,31,9,XvT - Balance of Power,Freighter,Fleet Manual #62,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
160,M/FRT the Luggage,31,9,XvT - Balance of Power,Freighter,Fleet Manual #2,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
161,Millenium Falcon,39,9,XvT - Balance of Power,Freighter,Fleet Manual #30,HA Ender mBind,N/A,N/A,2/19/2009,11/1/2013,1,No,0,0,0
162,Mobquet Transport,31,9,XvT - Balance of Power,Freighter,Fleet Manual #57,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/1/2013,1,No,0,0,0
163,Modified Action Transport,31,9,XvT - Balance of Power,Freighter,Fleet Manual #58,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/1/2013,1,No,0,0,0
164,Suprosa,31,9,XvT - Balance of Power,Freighter,Fleet Manual #63,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/1/2013,1,No,0,0,0
165,Xiytiar-class Transport,31,9,XvT - Balance of Power,Freighter,Fleet Manual #64,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/9/2013,1,No,0,0,0
166,Doomsday Corvette,31,9,XvT - Balance of Power,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,0,0
167,Dreadnaught Mk.II,31,9,XvT - Balance of Power,Capship,Fleet Manual #114,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
168,Enforcer Picket Ship,39,9,XvT - Balance of Power,Capship,Fleet Manual #115,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/28/2013,1,No,0,0,0
169,Imperial Research Ship,39,9,XvT - Balance of Power,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,1,0
170,Imperial II-class Star Destroyer,31,9,XvT - Balance of Power,Capship,Fleet Manual #142,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
171,Lancer-class Frigate,31,9,XvT - Balance of Power,Capship,Fleet Manual #153,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
172,Marauder-class Corvette,31,9,XvT - Balance of Power,Capship,Fleet Manual #117,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
173,MC80a Calamari Cruiser,39,9,XvT - Balance of Power,Capship,Fleet Manual #149,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
174,MC90 Calamari Cruiser,54,9,XvT - Balance of Power,Capship,Fleet Manual #143,HA Ender mBind,JM,JM,2/19/2009,10/31/2013,1,No,0,0,0
175,Modular Task Force Cruiser,39,9,XvT - Balance of Power,Capship,Fleet Manual #155,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/20/2009,1,No,0,0,0
176,Star Galleon,31,9,XvT - Balance of Power,Capship,Fleet Manual #152,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/5/2013,1,No,0,0,0
177,Torpedo Sphere,39,9,XvT - Balance of Power,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,2/19/2009,1,No,0,0,0
178,Venator-class Star Destroyer,31,9,XvT - Balance of Power,Capship,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,11/5/2013,1,No,0,0,1
179,Victory II-class Star Destroyer,31,9,XvT - Balance of Power,Capship,Fleet Manual #158,HA Ender mBind,N/A,N/A,2/19/2009,11/9/2013,1,No,0,0,0
180,Winged Calamari Cruiser,31,9,XvT - Balance of Power,Capship,Fleet Manual #150,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/19/2009,10/31/2013,1,No,0,0,0
181,Eclipse-class S. Star Destroyer Mk.I,54,9,XvT - Balance of Power,Capship,,HA Ender mBind,Dreddnott,Dreddnott,2/18/2009,10/31/2013,1,No,0,0,0
182,Eclipse-class S. Star Destroyer Mk.II,54,9,XvT - Balance of Power,Capship,Fleet Manual #141,HA Ender mBind,JM,JM,2/18/2009,10/31/2013,1,No,0,0,0
183,Sovereign-class Super Star Destroyer,54,9,XvT - Balance of Power,Capship,Fleet Manual #144,HA Ender mBind,Drakken,Drakken,2/18/2009,11/4/2013,1,No,0,0,0
184,Cargo Facility 1,54,9,XvT - Balance of Power,Platform,Fleet Manual #73,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/27/2013,1,No,0,0,0
185,Cargo Facility 2,54,9,XvT - Balance of Power,Platform,Fleet Manual #74,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/27/2013,1,No,0,0,0
186,Derilyn Platform,54,9,XvT - Balance of Power,Platform,Fleet Manual #76,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/27/2013,1,No,0,0,0
187,Dunari's Rest (Casino),54,9,XvT - Balance of Power,Platform,Fleet Manual #77,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/27/2013,1,No,0,0,0
188,Azzameen Family Repair Yard,54,9,XvT - Balance of Power,Platform,Fleet Manual #79,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/28/2013,1,No,0,0,0
189,Golan I Space Station,54,9,XvT - Balance of Power,Platform,Fleet Manual #80,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/31/2013,1,No,0,0,0
190,Golan II Space Station,54,9,XvT - Balance of Power,Platform,Fleet Manual #81,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/31/2013,1,No,0,0,0
191,Golan III Space Station,54,9,XvT - Balance of Power,Platform,Fleet Manual #82,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/31/2013,1,No,0,0,1
192,Imperial Research Center,54,9,XvT - Balance of Power,Platform,Fleet Manual #83,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/31/2013,1,No,0,0,0
193,Industrial Complex,54,9,XvT - Balance of Power,Platform,Fleet Manual #84,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,10/31/2013,1,No,0,0,0
194,Naval Base,54,9,XvT - Balance of Power,Platform,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/2/2013,1,No,0,0,0
195,Naval Defence Platform,31,9,XvT - Balance of Power,Platform,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,2/20/2009,1,No,0,1,0
196,Pirate Ship Yard,54,9,XvT - Balance of Power,Platform,Fleet Manual #89,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/4/2013,2883,No,0,0,0
197,Processing Plant ,54,9,XvT - Balance of Power,Platform,Fleet Manual #85,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/4/2013,1,No,0,0,0
198,Rebel Platform,54,9,XvT - Balance of Power,Platform,Fleet Manual #86,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/4/2013,1,No,0,0,0
199,Rotonda Platform,54,9,XvT - Balance of Power,Platform,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,2/20/2009,1,No,0,0,0
200,Space Colony 1,54,9,XvT - Balance of Power,Platform,Fleet Manual #92,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/5/2013,1,No,0,0,0
201,Space Colony 2,54,9,XvT - Balance of Power,Platform,Fleet Manual #93,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/5/2013,1,No,0,0,0
202,Space Colony 3,54,9,XvT - Balance of Power,Platform,Fleet Manual #94,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/20/2009,11/5/2013,1,No,0,0,0
203,Preybird-class Fighter,10,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/1/2003,11/18/2013,1,No,0,0,0
204,Razor-class Fighter,10,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,10/19/2003,11/18/2013,1,No,0,0,0
205,Shadow-class Y-Wing,11,9,XvT - Balance of Power,Fighter,Fleet Manual #131,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/13/2003,11/4/2013,1,No,0,0,0
206,Skipray Blastboat,11,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/28/2003,11/18/2013,1,No,0,0,0
207,Spectre Advanced Missile Boat,12,9,XvT - Balance of Power,Fighter,Fleet Manual #108,COL Kermee,HA Ender mBind,HA Ender mBind,12/28/2003,10/31/2012,1,No,0,1,2
208,Supa Fighter,11,9,XvT - Balance of Power,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,9/1/2002,11/7/2013,1,No,0,0,0
209,Tactical Gunboat,10,9,XvT - Balance of Power,Fighter,Fleet Manual #130,HA Ender mBind,HA Ender mBind,HA Ender mBind,3/6/2003,10/31/2012,1,Yes,0,0,0
